	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
LOC648691	0.3785116232537299	0.5360529002402097	0.36737106564852945	0.17632277264046287	0.7136958148433591	0.5558161550616397	0.32192809488736235	0.722466024471091	0.5058909297299573	0.2630344058337938
LOC648740	0.0	0.0	0.056583528366367514	0.08406426478847456	0.17632277264046287	0.0	0.16349873228287956	0.13750352374993502	0.0	0.0
LOC648809	0.18903382439001715	0.15055967657538138	0.0	0.0	0.12432813500220177	0.11103131238874395	0.0	0.2016338611696504	0.0	0.0
LOC648987	4.259272487037594	3.636914580355878	3.4620523187964327	3.1906148602094975	4.4376272483189485	4.365272599764531	3.8972404255747994	5.002252451731379	3.7602209464665095	3.2203299548795554
LOC649133	0.15055967657538138	0.0	0.0	0.08406426478847456	0.04264433740849372	0.0	0.2016338611696504	0.0	0.0	0.0
LOC649330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
LOC649352	0.15055967657538138	0.0	0.0	0.0	0.0	0.15055967657538138	0.16349873228287956	0.070389327891398	0.21412480535284734	0.0
LOC649395	0.056583528366367514	0.0	0.0	0.15055967657538138	0.056583528366367514	0.0	0.02856915219677092	0.056583528366367514	0.0	0.0
LOC650226	0.5558161550616397	0.8073549220576041	0.11103131238874395	0.0	0.17632277264046287	0.15055967657538138	0.2016338611696504	0.2016338611696504	0.12432813500220177	0.08406426478847456
LOC650293	0.18903382439001715	0.27500704749986976	0.45417589318580215	0.0	0.17632277264046287	0.0	0.3895668117627256	0.4222330006830478	0.6415460290875237	0.13750352374993502
LOC650368	0.3785116232537299	0.21412480535284734	0.08406426478847456	0.3785116232537299	0.3103401206121505	0.765534746362977	0.29865831556451516	0.5360529002402097	0.4222330006830478	0.08406426478847456
LOC650623	4.0435194936627425	3.412781525338476	3.6392321632492775	2.8318772411916733	3.1193561770396756	3.212569338850806	4.343407822297814	4.215678596607928	3.800123352826528	2.127633279725874
LOC650794	1.7865963618908067	1.3504972470841332	1.7949356628035362	1.613531652917927	2.229587922740652	1.709290635723358	1.5945485495503542	1.1243281350022014	1.207892851641333	1.6959938131099002
LOC652276	3.76659516172927	2.5459683691052923	2.582556003014061	3.1842802944193824	3.111031312388744	2.634593268445757	3.8298495598446904	3.297191416565856	2.790772037862	1.835924074254375
LOC653061	0.44360665147561457	1.207892851641333	1.1043366598147355	0.8718436485093178	0.7398481026993274	1.232660756790275	0.7907720378619999	1.2265085298086797	1.5945485495503542	0.11103131238874395
