Gene	Labels	Color
ITGB8	17	grey60
ITIH2	1	turquoise
ITIH3	0	grey
ITIH4	37	skyblue3
ITIH5	9	magenta
ITK	21	darkred
ITLN1	3	brown
ITM2A	9	magenta
ITM2B	2	blue
ITM2C	3	brown
ITPA	6	red
ITPK1	2	blue
ITPKA	4	yellow
ITPKB	2	blue
ITPR1	9	magenta
ITPR2	9	magenta
ITPR3	2	blue
ITPRIP	20	royalblue
ITPRIPL1	18	lightgreen
ITPRIPL2	1	turquoise
ITSN1	1	turquoise
ITSN2	13	salmon
IVD	3	brown
IVNS1ABP	2	blue
IZUMO4	4	yellow
JAG1	14	cyan
JAG2	1	turquoise
JAGN1	14	cyan
JAK1	7	black
JAK2	23	darkturquoise
JAK3	2	blue
JAKMIP2	20	royalblue
JAM2	16	lightcyan
JAM3	3	brown
JARID2	2	blue
JDP2	10	purple
JKAMP	37	skyblue3
JMJD1C	6	red
JMJD4	13	salmon
JMJD6	27	white
JMJD7	22	darkgreen
JMJD8	9	magenta
JMY	34	darkmagenta
JOSD1	16	lightcyan
JOSD2	4	yellow
JPH3	1	turquoise
JRK	12	tan
JRKL	3	brown
JSRP1	10	purple
JTB	4	yellow
JUN	3	brown
JUNB	3	brown
JUND	10	purple
JUP	5	green
KALRN	22	darkgreen
KANK1	5	green
KANK2	12	tan
KANK3	7	black
KARS	14	cyan
KAT2A	1	turquoise
KAT2B	2	blue
KAT5	3	brown
KAT6A	6	red
KAT6B	11	greenyellow
KAT7	7	black
KAT8	3	brown
KATNA1	33	darkolivegreen
KATNAL1	4	yellow
KATNAL2	6	red
KATNB1	4	yellow
KAZALD1	15	midnightblue
KBTBD11	11	greenyellow
KBTBD12	1	turquoise
KBTBD2	23	darkturquoise
KBTBD3	1	turquoise
KBTBD4	11	greenyellow
KBTBD6	12	tan
KBTBD7	4	yellow
KCMF1	23	darkturquoise
KCNA3	2	blue
KCNA4	41	lightsteelblue1
KCNA5	24	darkgrey
KCNA7	1	turquoise
KCNAB2	15	midnightblue
KCNAB3	19	lightyellow
KCNC3	2	blue
KCNC4	1	turquoise
KCND1	1	turquoise
