	HC02A	HC04A	HC06A	RSA03A	RSA04A	RSA-1A
RNF214	7.66888433959294	7.73362631691819	7.78287580558686	7.77208469715912	8.23481339914466	7.92579306201768
RNF215	8.28889224751357	8.19659908517868	8.01230857110106	7.96775378989232	8.19557165788006	7.65209695068937
RNF216	9.46829187259152	9.64108401567477	9.53568485931655	9.5631876407589	9.68513557429852	9.90645301676533
RNF216-IT1	2.25321483283842	0.907177105483059	1.94379380210906	2.72316103421608	2.15847061327983	1.07435283090471
RNF216P1	7.8268434159498	8.21796372318589	8.40455821315142	8.05645997368691	8.05229752693367	7.80971670921567
RNF217	9.47212342008244	8.22219894522522	8.29111790990294	8.75325358649602	8.73460137723254	7.9836618008816
RNF217-AS1	4.9163649175733	3.52412246562331	3.25421302788724	3.99474390254203	2.49036932429533	3.12770602381717
RNF220	9.31672816286294	9.6058610936448	9.54671112743577	9.46175156527495	9.18167862893054	9.32969898566783
RNF222	1.52793113248798	0.907177105483059	0.0	1.51990756854094	1.10755695246591	1.07435283090471
RNF223	7.21792888359911	2.17040248629421	6.38487244978411	5.22576355382727	7.45430318120982	0.0
RNF224	2.92467386431012	0.907177105483059	2.26189579936271	2.2435026002505	2.15847061327983	2.93256456353744
RNF225	0.957439223542008	0.0	0.0	0.0	0.0	0.0
RNF227	7.85058598716554	8.07542206492493	8.4404724537057	7.61601538028524	7.89320997888888	7.29383570275068
RNF24	9.64670456679131	9.29810240586803	9.72230957078385	9.9444075359835	10.3761526605014	9.84706778853485
RNF25	8.6417150771889	9.22401126801914	9.07190253722554	8.82035773148859	9.06209919613629	8.81005674656231
RNF26	8.68527784476454	8.93504066623024	8.87891347279267	8.91270866003242	9.0145717451931	8.73341691953418
RNF2P1	2.73360603162449	0.0	3.25421302788724	0.0	1.72666074592923	0.0
RNF31	5.696562604741	5.42686436146167	5.7332982562791	5.39540521709273	5.90436432184087	5.60135248237604
RNF32	4.87065082646487	4.81437324892208	2.93420946486533	3.81496946317575	5.10807816304702	5.22845889621214
RNF32-AS1	1.9356785405249	2.17040248629421	2.26189579936271	0.0	2.49036932429533	1.68327177306147
RNF34	8.82665868808083	8.91947584927065	9.05140403970735	8.98893405561617	8.5424400556299	8.59587754061948
RNF38	9.43334217768211	8.63496963670165	9.20777368872215	9.03589151987453	9.31320605055824	8.87944641182814
RNF39	6.43811423109886	6.0960019266122	6.77072436813077	6.73506939403689	6.92005104281108	7.41095090358693
RNF4	10.2276712600622	10.3492032618109	10.5133259538138	10.2423249478248	10.2102750845497	10.3298175624593
RNF40	9.40556138015521	9.51729799150017	9.30188801547878	9.27864757462471	8.75016181395102	9.41162327357881
RNF41	9.31885740842285	9.37429378829301	9.66274397253772	9.31294442281748	9.27875142122139	9.43255233905376
RNF43	4.61744548718122	4.14013040938667	2.52237382456651	4.42928081485425	1.10755695246591	4.99827507535017
RNF44	9.7623041274754	9.59773451641733	9.40646877330637	9.43280293444508	9.02739960695051	9.36641672288966
RNF5	9.0117791849684	9.40628630745408	9.46769666114654	9.32979186565492	9.22408346352736	9.57948956927683
RNF5P1	0.957439223542008	1.85842555506275	1.53511066935104	0.951485877153058	1.10755695246591	1.68327177306147
RNF6	8.96632035501172	8.09402919732256	8.35523804523512	8.73439746869283	9.30005146790336	8.92610681517944
RNF6P1	0.0	0.0	0.962773549420808	0.0	0.0	0.0
RNF7	8.75612895234393	9.05623410146186	9.39023697200181	9.05880926985574	9.5019613364243	9.33464901384251
RNF7P1	0.0	0.0	0.0	0.0	0.0	1.07435283090471
RNF8	7.46095521658653	7.79177399774837	7.41684431805625	7.64322775794929	7.27229378478233	7.63614697706771
RNFT1	8.0838187906384	7.69757844847646	8.20558080107499	8.30246509939769	8.33107654361889	8.21063493598658
RNFT1-DT	1.52793113248798	2.17040248629421	2.74293748242366	1.51990756854094	2.15847061327983	1.07435283090471
RNFT1P2	0.0	0.907177105483059	0.0	0.0	0.0	0.0
RNFT1P3	0.957439223542008	0.0	0.0	0.0	0.0	1.07435283090471
RNFT2	3.82640007555988	4.94310842594233	4.97130009552509	4.71228273586226	6.06229128354377	5.27039536616577
RNGTT	8.0224316874656	7.84766856058427	8.10970248578337	7.87323396736502	8.31547215037295	7.92579306201768
RNGTTP1	1.52793113248798	1.85842555506275	0.962773549420808	0.0	2.49036932429533	1.07435283090471
RNH1	11.9335442003516	12.2176626647185	12.3597243521895	12.0781019552836	12.3665314894254	11.7379402648187
RNLS	7.26285900657261	7.80877091451491	6.96954174286332	6.93548614190525	8.19557165788006	7.95822848574404
RNMT	9.29958011281902	8.89845804939244	9.30838125458065	9.179897387364	9.41433562359323	8.8416957290275
RNPC3	7.91393243314617	7.59026184034529	7.47956176996024	7.50172281730132	7.48252472066013	7.86550576836863
RNPEP	9.45673579357413	9.7550831647857	10.0357667215837	10.0164191871945	9.88865140719593	9.8762174480494
RNPEPL1	10.876525222176	11.2227292732898	11.0869861475266	11.0737551865817	10.7896643975707	10.5889412544609
RNPS1	10.8129881486405	11.050632259156	11.1131830564489	11.0325428658491	10.6973620412412	10.5992617116671
RNPS1P1	4.1661916707944	3.72848801317765	4.32056165924876	4.29845799495487	4.28369003870105	3.45312181284737
RNU1-103P	2.51331392522965	3.8207493905438	2.93420946486533	1.51990756854094	2.98710739767197	2.7068368987323
RNU1-108P	0.0	0.0	0.0	0.0	0.0	1.07435283090471
RNU1-11P	0.0	3.72848801317765	2.74293748242366	3.23339272576204	0.0	2.93256456353744
RNU1-124P	0.0	0.907177105483059	0.0	0.0	0.0	1.07435283090471
RNU1-129P	0.957439223542008	1.45982229981518	0.0	0.0	1.10755695246591	1.07435283090471
RNU1-132P	1.52793113248798	0.0	0.0	0.0	0.0	0.0
RNU1-133P	0.957439223542008	0.0	0.0	0.0	1.10755695246591	0.0
RNU1-134P	1.52793113248798	2.64437186658867	2.26189579936271	2.50317491358933	2.15847061327983	2.7068368987323
RNU1-138P	0.957439223542008	0.0	0.0	0.0	0.0	0.0
