ID	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
DNAJC1	7.30682834730287	7.55081859025415	7.50098058783989	8.23408939020228	7.29945830323907	8.24432039568606	7.42290106257745	7.43353662541737	7.39925726920403	7.47308666696432	8.44426872023949	7.985210755098
DNAJC10	7.14898503734795	7.42701293677489	8.16246512011716	7.88704579605917	8.23529349056034	7.95952467450633	8.15200104093613	7.41775058172072	7.56679965742286	7.75557034222549	8.01557847437339	8.04055855913036
DNAJC11	5.71956761909209	6.51280938678414	6.40642007379657	6.35560674191655	6.43219791177814	6.30349871229483	6.27752730345835	6.42086161936454	6.63610976525388	6.16506989403734	6.23330318933527	6.10348719845049
DNAJC12	4.70423726845075	4.87898199210616	4.81289729534588	4.96406928146694	4.34575899114859	5.09919160844066	4.90138193162778	5.04719883496126	4.76263535055362	4.07193001822946	4.8704342894384	5.16427502822471
DNAJC13	7.28969045310628	5.87418276537774	6.62341220989962	7.14898488025481	6.43609231482756	6.40499457588396	6.71898647989369	6.19840410256302	6.62855817472867	6.55607868326384	6.85022425519337	6.92826001510546
DNAJC14	4.84045643900329	7.95896158355803	7.92685707501526	5.62722394742628	5.93410016023655	5.87665402932457	6.4031579897764	6.21156472210412	6.12609003898919	5.96073684884137	6.34042912073383	6.67534549903891
DNAJC15	6.43741054449186	6.67949003281159	6.83506665894782	8.2775462087922	6.01670723605354	7.49965021709538	6.73111602327423	6.98898094296405	7.11788010606726	6.88437898788759	6.69964248722669	7.23021172560763
DNAJC16	5.19884774133265	5.27460692005695	5.3242303311336	5.02954780899966	5.54032613494654	5.40073807749713	5.40453701115387	5.1918883677137	5.5322251112265	5.28804122292907	5.18714409296459	5.41965240354153
DNAJC17	6.33097450534546	6.34997405309898	5.92435839118388	5.82253487111868	5.81027833078366	6.39955981295368	5.92405537928738	6.32167184188526	6.19730477227773	6.28822253358422	5.83523808501145	6.0808491045589
DNAJC18	3.46716802835819	3.88259779326909	3.9901723048975	6.87643039075911	3.59155064510646	6.87475662292965	4.71596926802861	4.89783266594318	4.52842514764131	4.74126792941989	3.84858284418313	5.41749323499982
DNAJC19	5.67348496379368	5.86627634041865	6.03546546228432	5.97781545752416	5.69747751316488	6.24142192376364	5.87277015951002	5.86384403496344	5.79037397608661	5.70095868831566	6.11860207111889	6.26143262298336
DNAJC2	6.62378284606541	5.39300499518639	5.77713646052354	5.84472540382565	5.72604319880901	6.00450937673267	5.79151707979925	5.64424976943844	5.57894409352041	6.3192950235614	6.46035316093586	5.60575977669113
DNAJC21	5.23072234191129	5.43310949860786	6.41792458332019	6.19418020422639	6.449746147678	6.23591841464852	6.15940617055101	5.6871029782819	5.85734401318581	6.18747575807515	6.1336058378952	5.99143157053284
DNAJC22	3.42295746102942	3.92039220117005	4.20974527300622	3.45843179132731	3.62333636212275	3.73005448343501	4.03905538512678	4.32713025719123	4.02826128118165	3.89457786044565	2.70019983854534	3.376171682055
DNAJC24	4.53302687464811	4.60603603008612	5.04434419564681	4.66851052706552	4.86552147575757	4.92815005056338	4.6993407815524	4.77628461597279	4.77165259088515	4.58160627678834	4.97223769057969	5.03110198570908
DNAJC25	6.69186588716266	6.59373802148101	6.62232700920861	6.85945270109601	6.70851950325605	7.09992366556681	6.76452808416811	6.39902153566908	6.87140518968586	6.74785348960528	6.98842617673205	6.81621696330987
DNAJC27	3.69739696187143	3.4948189993837	4.27876336316458	4.07520254779325	4.11850476021901	4.2868374147251	4.23509513366038	4.0892023672547	3.79800811970342	3.93430541851113	3.99541185340395	4.05617166616027
DNAJC28	2.33414431712421	2.31014502293568	2.76454558588321	2.4397349046414	2.46752158635702	2.26411364062531	2.82528263428695	1.87831936419549	2.55795932830089	2.63881013343639	2.4191498820065	2.29731205704007
DNAJC3	7.25313071366798	7.22611187134957	7.4939319592948	7.83716878013152	7.67571561254046	7.86026436429022	7.64638581697771	7.21702241852149	7.44412127401952	7.52456541860919	7.64376447913431	8.07263399382415
DNAJC30	5.11434547101339	6.44797208194764	6.18323249818947	4.81049098383835	5.68954748976973	5.03044164930472	5.20123339055659	6.0088013298331	5.32175947694328	5.45962285897684	5.63137492972162	5.56589302319419
DNAJC4	8.01690569716976	7.66566608342517	7.62704482450309	8.36285425170266	7.86742273849273	8.12928498455054	7.713287081293	8.21180259281693	7.98946504803617	7.8970210361916	7.99235527542314	7.88035971304084
DNAJC5	6.93326508853567	7.79871400552571	7.37589047034985	7.26393939955273	9.38309759922966	7.43120073366719	7.56092783373356	7.54937833174505	7.71254305076031	7.6040931613186	7.97061994267264	7.70015597314142
DNAJC5B	1.62006757785422	1.88878574663307	1.69686554113414	1.72713257575398	1.84261021185298	1.71561282056759	1.82479176326525	0.515700461591782	2.29584548613194	2.45450410331142	2.03968984888059	1.18983207389752
DNAJC6	3.2343286442241	3.38511671174189	4.09588710729804	4.64656832922449	7.66230629623802	4.45719300867443	5.2160487975292	3.4157721140649	3.43495912015363	4.51473136540649	4.81400093585792	5.57031909376856
DNAJC7	8.04479190112085	8.72990632436166	7.57096251775581	7.68943682717447	7.02726751309197	7.85199489078346	7.6235667594667	7.8245992023276	7.80511090260654	7.82131603382708	7.89276177113296	7.90433241213403
DNAJC8	7.44014039219785	8.27569153639527	7.99527541462471	7.98871063598428	7.62859300367082	8.1550327236896	7.69034032991975	7.75542866509328	8.09252007784453	8.03059866169314	8.02361198853774	7.9932261175315
DNAJC9	4.48420716352374	5.29107740942064	6.38044146847156	6.26165608868474	6.12558981313903	6.38011310793689	5.40056391411035	5.94853328416688	6.18006575430461	5.75572828892752	5.6295567524324	5.76284808528106
DNAL1	4.11504488462105	4.44935306957641	4.85956778432261	4.29774916711492	4.65174651259419	4.56883418423606	4.68594432748119	4.66713363641655	4.51712024517626	4.79106339828921	4.20511920889838	4.26835113520164
DNAL4	5.43985599685229	6.22712975985038	6.27848656242874	6.17261704199207	5.98022641046582	6.3185352972181	6.00637096999567	6.31832777426722	5.92435711641882	6.45446252922699	5.83926836575714	5.91431140752365
DNALI1	5.20970014086205	5.57824435277024	5.38641913157816	5.26781556082311	4.94200177180524	5.34703674075115	5.3998796321662	4.92792128834936	5.0476319378273	5.77192630107505	5.19225812620842	5.48672111688068
